accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OQ503754	OQ503754.1	MpxV/human/USA/WA-UW-119069/2022	2022-11-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23575095	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.5	0.9999949292375094	0	611	1	good	good	good	good	good		False	[2022.8342465753424:2022.9136986301369]
OQ503755	OQ503755.1	MpxV/human/USA/WA-UW-113327/2022	2022-11-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23575104	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.5	0.9999898584750188	2	612	0	good	good	good	good	good		False	[2022.8342465753424:2022.9136986301369]
OQ503756	OQ503756.1	MpxV/human/USA/WA-UW-126801/2022	2022-12-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23575103	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.2	1.0	0	615	0	good	good	good	good	good		False	[2022.9164383561645:2022.9986301369863]
OQ503763	OQ503763.1	MpxV/human/USA/WA-UW-090794/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23580667	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	606	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ503764	OQ503764.1	MpxV/human/USA/WA-UW-098023/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23580666	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	608	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ503773	OQ503773.1	MpxV/human/USA/WA-UW-094428/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23580677	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	610	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ503780	OQ503780.1	MPXV/Human/USA/CA-LACPHL-MA00440/2022	2022-11-29	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.7899385930662394	39881	470	0	bad	good	good	good	good		False	2022.9109589041095
OQ503783	OQ503783.1	MPXV/Human/USA/CA-LACPHL-MA00449/2022	2022-10-09	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9945742841351054	282	605	0	good	good	good	good	good		False	2022.7712328767122
OQ503787	OQ503787.1	MPXV/Human/USA/CA-LACPHL-MA00453/2022	2022-10-14	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.18	0.987206466236328	1794	606	0	good	good	good	good	good		False	2022.7849315068493
OQ503790	OQ503790.1	MPXV/Human/USA/CA-LACPHL-MA00456/2022	2022-10-21	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.986876866674442	1576	607	0	good	good	good	good	good		False	2022.804109589041
OQ503791	OQ503791.1	MPXV/Human/USA/CA-LACPHL-MA00457/2022	2022-10-25	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9910348919166976	221	605	1	good	good	good	good	good		False	2022.8150684931506
OQ503793	OQ503793.1	MPXV/Human/USA/CA-LACPHL-MA00441/2022	2022-11-18	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.7755325568305707	43103	467	3	bad	good	good	good	good		False	2022.8808219178081
OQ503794	OQ503794.1	MPXV/Human/USA/CA-LACPHL-MA00442/2022	2022-11-27	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.813568346272229	35593	492	2	bad	good	good	good	good	OPG109:117-796	False	2022.9054794520548
OQ503795	OQ503795.1	MPXV/Human/USA/CA-LACPHL-MA00443/2022	2022-11-27	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.7966117165038107	39409	492	0	bad	good	good	good	good		False	2022.9054794520548
OQ503796	OQ503796.1	MPXV/Human/USA/CA-LACPHL-MA00444/2022	2022-11-11	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.7846903538885143	41763	480	4	bad	good	good	good	good		False	2022.8616438356164
OQ503797	OQ503797.1	MPXV/Human/USA/CA-LACPHL-MA00414/2022	2022-12-28	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.7924739743115172	38072	500	1	bad	good	good	good	mediocre		False	2022.990410958904
OQ503798	OQ503798.1	MPXV/Human/USA/CA-LACPHL-MA00410/2023	2023-01-03	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9606813076482312	6342	580	0	good	good	good	good	good		False	2023.0068493150684
OQ503799	OQ503799.1	MPXV/Human/USA/CA-LACPHL-MA00411/2023	2023-01-04	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9818263872338484	648	599	0	good	good	good	good	mediocre		False	2023.009589041096
OQ503800	OQ503800.1	MPXV/Human/USA/CA-LACPHL-MA00412/2023	2023-01-05	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9803000877241912	1507	599	0	good	good	good	good	good		False	2023.0123287671233
OQ503801	OQ503801.1	MPXV/Human/USA/CA-LACPHL-MA00427/2022	2022-09-15	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9893615402948142	549	599	1	good	good	good	good	good		False	2022.7054794520548
OQ503803	OQ503803.1	MPXV/Human/USA/CA-LACPHL-MA00429/2022	2022-10-21	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9934992824871076	514	608	1	good	good	good	good	good		False	2022.804109589041
OQ503810	OQ503810.1	MPXV/Human/USA/CA-LACPHL-MA00436/2022	2022-09-28	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.991212368603867	515	606	0	good	good	good	good	good		False	2022.7410958904109
OQ503812	OQ503812.1	MPXV/Human/USA/CA-LACPHL-MA00419/2022	2022-11-22	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9895288754570024	517	611	0	good	good	good	good	good		False	2022.8917808219178
OQ503813	OQ503813.1	MPXV/Human/USA/CA-LACPHL-MA00420/2022	2022-12-01	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9852592934399546	1358	602	1	good	good	good	good	good		False	2022.9164383561645
OQ503814	OQ503814.1	MPXV/Human/USA/CA-LACPHL-MA00421/2022	2022-12-03	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.8308799294149861	30686	526	1	bad	good	good	good	good		False	2022.9219178082192
OQ503815	OQ503815.1	MPXV/Human/USA/CA-LACPHL-MA00422/2022	2022-12-03	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.991166731741452	310	607	0	good	good	good	good	good		False	2022.9219178082192
OQ503816	OQ503816.2	MPXV/Human/USA/CA-LACPHL-MA00423/2022	2022-12-02	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.975416943445786	3300	597	0	good	good	good	good	good		False	2022.9191780821918
OQ503817	OQ503817.1	MPXV/Human/USA/CA-LACPHL-MA00424/2022	2022-12-05	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.976329680694086	3120	609	0	good	good	good	good	good		False	2022.927397260274
OQ503818	OQ503818.1	MPXV/Human/USA/CA-LACPHL-MA00425/2022	2022-12-03	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9905328864301324	318	609	1	good	good	good	good	mediocre		False	2022.9219178082192
OQ503819	OQ503819.2	MPXV/Human/USA/CA-LACPHL-MA00426/2022	2022-12-14	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.97545243878322	3293	600	0	good	good	good	good	good		False	2022.9520547945206
OQ503820	OQ503820.1	MPXV/Human/USA/CA-LACPHL-MA00415/2022	2022-12-05	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9899953856061336	427	604	0	good	good	good	good	good		False	2022.927397260274
OQ503821	OQ503821.1	MPXV/Human/USA/CA-LACPHL-MA00416/2022	2022-12-12	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.991019679629226	222	605	1	good	good	good	good	good		False	2022.9465753424658
OQ503822	OQ503822.1	MPXV/Human/USA/CA-LACPHL-MA00417/2022	2022-12-12	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.976968596767896	2984	596	0	good	good	good	good	good	OPG023:574-661	False	2022.9465753424658
OQ503823	OQ503823.2	MPXV/Human/USA/CA-LACPHL-MA00418/2022	2022-12-14	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.7983002804131657	37395	494	0	bad	good	good	good	good		False	2022.9520547945206
OQ503824	OQ503824.1	MPXV/Human/USA/CA-LACPHL-MA00413/2023	2023-01-07	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.8003539392218408	36487	496	0	bad	good	good	good	good		False	2023.017808219178
OQ503825	OQ503825.1	MPXV/Human/USA/CA-LACPHL-MA00402/2023	2023-01-18	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9364481337058652	8901	564	0	mediocre	good	good	good	good		False	2023.0479452054794
OQ503826	OQ503826.2	MPXV/Human/USA/CA-LACPHL-MA00403/2023	2023-01-06	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9688452352580258	2781	585	0	good	good	good	good	good		False	2023.0150684931507
OQ503827	OQ503827.1	MPXV/Human/USA/CA-LACPHL-MA00404/2023	2023-01-10	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9767201294058588	2165	592	0	good	good	good	good	good		False	2023.0260273972603
OQ503828	OQ503828.1	MPXV/Human/USA/CA-LACPHL-MA00405/2023	2023-01-10	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9777494941914416	3456	598	0	good	good	good	good	good		False	2023.0260273972603
OQ503829	OQ503829.1	MPXV/Human/USA/CA-LACPHL-MA00406/2023	2023-01-09	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9792757937010989	934	595	0	good	good	good	good	good		False	2023.0232876712328
OQ503830	OQ503830.2	MPXV/Human/USA/CA-LACPHL-MA00407/2023	2023-01-10	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9619692813208324	4378	577	0	good	good	good	good	good		False	2023.0260273972603
OQ503831	OQ503831.1	MPXV/Human/USA/CA-LACPHL-MA00408/2023	2023-01-11	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.9947923269221992	335	609	0	good	good	good	good	good		False	2023.0287671232877
OQ503832	OQ503832.1	MPXV/Human/USA/CA-LACPHL-MA00409/2023	2023-01-17	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.986805875999574	1910	600	0	good	good	good	good	good		False	2023.045205479452
OQ503833	OQ503833.1	MPXV/Human/USA/CA-LACPHL-MA00445/2022	2022-08-19	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9872013954738376	1342	605	2	good	good	good	good	good		False	2022.631506849315
OQ503835	OQ503835.1	MPXV/Human/USA/CA-LACPHL-MA00439/2022	2022-10-09	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9818111749463768	2640	599	0	good	good	good	good	good		False	2022.7712328767122
OQ503836	OQ503836.1	MPXV/Human/USA/CA-LACPHL-MA00459/2023	2023-01-22	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.982810115157016	355	597	0	good	good	good	good	good		False	2023.058904109589
OQ503837	OQ503837.1	MPXV/Human/USA/CA-LACPHL-MA00460/2023	2023-01-23	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9785303916149872	1478	592	0	good	good	good	good	good		False	2023.0616438356165
OQ503838	OQ503838.1	MPXV/Human/USA/CA-LACPHL-MA00461/2023	2023-01-20	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9415138254339304	8228	573	0	mediocre	good	good	good	good		False	2023.0534246575342
OQ503839	OQ503839.1	MPXV/Human/USA/CA-LACPHL-MA00463/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9691494810074592	5287	574	2	good	good	good	good	good		False	2023.0698630136985
OQ503840	OQ503840.1	MPXV/Human/USA/CA-LACPHL-MA00464/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9208352559974444	14920	544	0	mediocre	good	good	mediocre	good	OPG198:31-283,OPG205:701-788	False	2023.0698630136985
OQ503841	OQ503841.1	MPXV/Human/USA/CA-LACPHL-MA00465/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9101410179048623	17029	548	0	mediocre	good	good	good	good		False	2023.0698630136985
OQ503842	OQ503842.1	MPXV/Human/USA/CA-LACPHL-MA00466/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.8039389683026636	37998	489	1	bad	good	good	good	good		False	2023.0698630136985
OQ503843	OQ503843.1	MPXV/Human/USA/CA-LACPHL-MA00467/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9736675303865442	4498	595	3	good	good	good	good	good		False	2023.0698630136985
OQ503844	OQ503844.1	MPXV/Human/USA/CA-LACPHL-MA00468/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9185280590642416	15366	540	0	mediocre	good	good	mediocre	good	OPG198:31-283,OPG205:701-788	False	2023.0698630136985
OQ503845	OQ503845.1	MPXV/Human/USA/CA-LACPHL-MA00462/2023	2023-01-30	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9881851233970051	1633	605	0	good	good	good	good	good		False	2023.0808219178082
OQ511276	OQ511276.1	MPXV22/human/USA-IA-2	2022-08-15	North America	USA	Iowa		Homo sapiens	2023-03-01		Pentella et al.	Pentella,M.,Chapman,R.C.,Stapleton,J.,Meier,J.,Xiang,J.,Li,M.,Reeb,V.,Benfer,J.,Eveland,K.,Wiley,M.R.,Hottel,W.,Cross,S.T.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	IIb	hMPXV-1	B.1	0.9866740361748196	2485	598	0	good	good	good	good	good	OPG077:119-313	False	2022.6205479452055
OQ511284	OQ511284.1	MPXV_USA_2022_OK0004	2022-06-XX	North America	USA	Oklahoma		Homo sapiens	2023-03-01	SRR23589406	Gigante et al.	Gigante,C.,Wang,Y.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Knipe,K.,Burroughs,M.S.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Stone,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997920987378872	41	606	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OQ511286	OQ511286.1	MPXV_USA_2022_OK0002	2022-10-XX	North America	USA	Oklahoma		Homo sapiens	2023-03-01	SRR23589405	Gigante et al.	Gigante,C.,Wang,Y.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Knipe,K.,Burroughs,M.S.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Stone,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997920987378872	41	606	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ547747	OQ547747.1	MPXV/Germany/2022/ON/RKI720	2022-05-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.7	0.965544168876674	286	578	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ547749	OQ547749.1	MPXV/Germany/2022/ON/RKI722	2022-05-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.14	0.9655745934516172	278	579	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ547751	OQ547751.1	MPXV/Germany/2022/ON/RKI724	2022-05-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.1	0.9571926230547289	1931	575	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ547753	OQ547753.1	MPXV/Germany/2022/ON/RKI726	2022-05-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9646060778159212	468	578	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ547755	OQ547755.1	MPXV/Germany/2022/ON/RKI728	2022-05-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.1	0.9648444036529772	428	578	0	good	good	good	good	good	OPG209:179-191	False	[2022.3301369863013:2022.4123287671232]
OQ547761	OQ547761.1	MPXV/Germany/2022/ON/RKI734	2022-07-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9651030125399956	374	579	0	good	good	good	good	good		False	[2022.4972602739726:2022.5794520547945]
OQ547766	OQ547766.1	MPXV/Germany/2022/ON/RKI739	2022-08-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.5	0.960524114011024	1273	575	0	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OQ547776	OQ547776.1	MPXV/Germany/2022/ON/RKI749	2022-10-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9586225780770654	1649	574	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ547873	OQ547873.1	hMpxV/USA/CACDPH1MPX1000155/2022	2022-12-15	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.992764021925977	660	604	0	good	good	good	good	good		False	2022.954794520548
